name,team,position,goals_scored_1,goals_scored_2,goals_scored_3,goals_scored_4,goals_scored_5,goals_scored_6,goals_scored_7,goals_scored_8,goals_scored_9,goals_scored_10,goals_scored_11
Daniel Bentley,,,,,,,,,,,,,
Daniel Castelo Podence,20.0,MID,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0
Daniel Iversen,11.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Daniel James,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Danilo dos Santos de Oliveira,,,,,,,,,,,,,
Danny Ings,2.0,FWD,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Danny Ward,11.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Danny Welbeck,5.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Darko Gyabi,10.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Darren Randolph,19.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Darwin NÃºÃ±ez Ribeiro,12.0,FWD,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0
David Brooks,3.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
David Datro Fofana,,,,,,,,,,,,,
David De Gea Quintana,14.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
David Ozoh,,,,,,,,,,,,,
David Raya Martin,4.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Davinson SÃ¡nchez,18.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dean Henderson,16.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Declan Rice,19.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
Dejan Kulusevski,18.0,MID,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dele Alli,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Demarai Gray,8.0,MID,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Denis Zakaria,,,,,,,,0.0,,,0.0,0.0,0.0
Deniz Undav,5.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dennis Praet,11.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dexter Lembikisa,,,,,,,,,,,,,
Diego Carlos Santos Silva,2.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Diego Da Silva Costa,,,,,,,,,,0.0,0.0,0.0,0.0
Diego Llorente,10.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Diogo Dalot Teixeira,14.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Diogo Pinheiro Monteiro,,,,,,,,,,,,,
Diogo Teixeira da Silva,12.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Divin Mubama,,,,,,,,,,,,,
Djed Spence,18.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dominic Ballard,,,,,,,,,,,,,
Dominic Calvert-Lewin,8.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dominic Sadi,,,,,,,,,,,,,
Dominic Solanke,3.0,FWD,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0
Dominic Thompson,4.0,DEF,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Donny van de Beek,14.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Douglas Luiz Soares de Paulo,2.0,MID,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
Duje Caleta-Car,,,,,,,,0.0,,0.0,0.0,0.0,0.0
Dwight Gayle,15.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dwight McNeil,8.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0
Eberechi Eze,7.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0
Ed Turns,,,,,,,,,,,,0.0,0.0
Eddie Nketiah,1.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Ederson Santana de Moraes,13.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Edouard Mendy,6.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eldin Jakupovic,,,,,,,,,,0.0,0.0,0.0,0.0
Ellery Balcombe,4.0,GK,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Elliot Anderson,15.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Ellis Simms,,,,,,,,,,,,,
